scopeid,inventarisnummer,aantal_scans
314431,453,839
314432,454,749
314433,455,606
314434,456,920
314435,457,829
314436,458,859
314437,459,779
314438,460,672
314439,461,625
314440,462,937
314441,463,1017
314442,464,795
314443,465,796
314444,466A,444
314445,466B,604
314446,467,888
314447,468A,427
314448,468B,510
314449,469A,461
314450,469B,510
314451,470A,445
314452,470B,404
314453,471A,477
314454,471B,458
314455,472A,518
314456,472B,477
314457,473A,411
314458,473B,450
314459,474,835
314460,475,826
314461,476,762
314462,477,703
314463,478,714
919059,479A,505
919060,479B,407
314465,480A,390
314466,480B,400
314468,481A,532
314469,481B,326
314470,482A,481
314471,482B,383
314472,483,838
314475,484,885
314476,485,808
314477,486A,516
314478,486B,513
314479,487,608
314480,488,818
314481,489,718
314482,490,900
314483,491,960
314486,492,258
314487,493,299
314488,494,284
314489,495,286
314490,496,302
314491,497,294
314492,498,277
314493,499,293
314494,500,273
314495,501,269
314496,502,278
314497,503,297
314498,504,271
314499,505,246
314500,506,288
314501,507,273
314502,508,288
314503,509,282
314504,510,284
919061,511,273
314506,512,186
314507,513,306
314508,514,197
314509,515,285
314510,516,295
314511,517,283
314512,518,264
314513,519,253
314514,520,265
314515,521,275
314516,522,303
314517,523,285
314518,524,289
314519,525,279
314520,526,303
314522,527,127
314523,528,146
314524,529,157
314525,530,161
39729010,531A,274
39729009,531B,464
39729008,532A,216
39729007,532B,364
39729006,533A,514
39729005,533B,272
39729004,534A,443
39729003,534B,219
314531,535A,250
314532,535B,252
314533,536A,408
314534,536B,273
314535,537,692
314536,538A,403
314537,538B,381
314538,539A,348
314539,539B,381
314540,540A,412
314541,540B,382
314542,541A,390
314543,541B,291
314545,542A,412
314546,542B,179
314547,543A,211
314548,543B,272
314549,544A,281
314550,544B,264
91467302,544C,0
91467303,544D,0
314552,545A,656
314553,545B,459
314554,546A,525
314555,546B,502
314556,547A,527
314557,547B,487
314558,548A,562
314559,548B,465
314560,549A,497
314561,549B,506
314562,550A,600
314563,550B,536
314564,551A,534
314565,551B,478
314566,552A,615
314567,552B,519
314568,553A,520
314569,553B,517
314570,554A,483
314571,554B,491
314572,555A,538
314573,555B,498
314574,556A,391
314575,556B,496
314576,557A,486
314577,557B,467
314578,558A,395
314579,558B,409
314580,558C,370
314581,559A,540
314582,559B,565
314583,560A,381
314584,560B,700
314585,561A,654
314586,561B,449
314588,562A,495
314589,562B,424
314590,563A,411
314591,563B,381
314592,564A,325
314593,564B,249
314594,565A,319
314595,565B,258
314596,566,52
314599,567,336
314600,568,414
314601,569,478
314602,570,319
314604,571,333
314605,572,299
314606,573,396
314607,574,415
314608,575,395
314609,576,518
314610,577,540
314611,578,627
314612,579,640
314613,580,782
919062,581A,358
919063,581B,361
314615,582,568
314616,583,487
314617,584,523
314618,585,507
314619,586,399
314620,587,452
314621,588,461
314622,589,299
314624,590,579
314625,591,476
314626,592,445
314627,593,460
314628,594,337
314629,595,287
314630,596,280
314631,597,300
314632,598,277
314633,599,411
314634,600,298
314635,601,330
314636,602,352
314637,603,425
314638,604,389
314639,605,519
314641,606,578
314642,607,596
314643,608,657
314644,609,560
314645,610,136
314648,610A,89
64763682,611AA,442
64763684,611AB,404
64763685,611BA,345
64763686,611BB,341
64763764,612A,198
64763765,612B,115
314654,613A,0
64763855,613AA,394
64763856,613AB,238
314655,613B,404
314656,614A,333
64763868,614BA,177
64763869,614BB,212
64763870,614BC,43
314658,615A,357
314659,615B,358
314660,616A,620
314661,616B,406
314662,617,401
64763915,618AA,374
64763916,618AB,403
64763917,618AC,346
314664,618B,540
64763859,619AA,288
64763860,619AB,504
64763861,619B,388
64763862,619C,308
64764691,619XA,498
64764692,619XB,411
64764693,620A,265
64764694,620B,255
314671,621,151
314672,622,144
314673,623,140
314674,624,230
314675,625,280
314676,626,96
314677,627,106
314678,628,276
314679,629,144
314680,630,84
314681,631,167
314682,632,130
314683,633,145
314684,634,165
314685,635,111
314686,636,188
314687,637,156
314688,638,189
314689,639,187
314690,640,196
314691,641,148
314692,642,222
314693,643,188
314694,644,57
314696,645A,480
314697,645B,368
314698,646A,422
314699,646B,439
314702,647,358
314703,648,335
314704,649,290
314705,650,288
314708,651,115
314709,652,43
314710,653,47
69932515,653A,0
314713,654,572
314714,655,470
314715,656,693
314716,657,280
64764697,658AA,276
64764698,658AB,218
64764699,658BA,0
64764700,658BB,276
314721,658C,0
64764701,659AA,124
64764702,659AB,434
64764703,659BA,484
64764704,659BB,470
64764705,660AA,0
64764706,660AB,398
64764707,660BA,422
64764708,660BB,0
64764761,661AA,0
64764762,661AB,0
64764763,661BA,400
64764764,661BB,0
64764765,662AA,0
64764766,662AB,491
64764767,662BA,418
64764768,662BB,186
314727,663,0
64764769,663AA,0
64764770,663AB,149
64764771,663B,0
64764772,663C,0
314728,664,697
314729,665,700
314730,666,238
314731,667,706
314732,668,702
314733,669,701
314734,670,767
314735,671,235
314736,672,470
314737,673,479
314738,674,238
314739,675,234
314740,676,233
314741,677,231
314742,678,255
314743,679,229
314744,680,244
314745,681,221
314746,682,228
314747,683,234
314748,684,234
314749,685,235
314750,686,232
314751,687,241
314752,688,233
314753,689,234
314754,690,99
919064,691A,435
919065,691B,346
919066,692A,408
919067,692B,390
919068,693A,363
919069,693B,389
919070,694A,467
919071,694B,524
919072,695A,487
919073,695B,370
919074,696A,514
919075,696B,418
314763,697,86
314764,698,95
314765,699,106
919076,700A,531
919077,700B,447
314768,701,999
314769,702,756
314770,703,49
919078,704A,499
919079,704B,472
919080,705A,465
919081,705B,351
919082,706A,398
919083,706B,354
919084,707,990
314777,708,782
314778,709,789
314779,710,988
314780,711,1013
314781,712,612
314783,713,672
314784,714,778
314785,715,506
314787,716,711
314788,717,647
314789,718,498
314791,719,557
314792,720,521
314793,721,511
314794,722,545
314795,723,490
314796,724,637
314797,725,614
314798,726,644
314799,727,629
314800,728,687
919085,729A,519
919086,729B,530
919087,730A,556
